PCAP Date,LP Short Name,Field Num,Field, Amount 
3/31/2024,Gabbana,9,Unrealized Gain / (Loss),0
3/31/2024,Gabbana,10,Investment Expenses,-1705
3/31/2024,Gabbana,11,Management Fees,-478
3/31/2024,Gabbana,13,Realized Carried Interest,0
3/31/2024,Gabbana,14,Unrealized Carried Interest,-409
3/31/2024,Gabbana,15,Fund Expenses,-116
3/31/2024,Gabbana,16,Ending Capital Balance,166637
3/31/2024,Peter Piper,1,Beginning Capital Balance,0
3/31/2024,Peter Piper,2,Capital Calls,"330,000"
3/31/2024,Peter Piper,5,Distributions (Principal),0
3/31/2024,Peter Piper,6,Distributions (Income),0
3/31/2024,Peter Piper,7,Interest Income,"8,688"
3/31/2024,Peter Piper,8,Realized Gain / (Loss),0
3/31/2024,Peter Piper,9,Unrealized Gain / (Loss),0
3/31/2024,Peter Piper,10,Investment Expenses,-3409
3/31/2024,Peter Piper,11,Management Fees,-956
3/31/2024,Peter Piper,13,Realized Carried Interest,0
3/31/2024,Peter Piper,14,Unrealized Carried Interest,-818
3/31/2024,Peter Piper,15,Fund Expenses,-231
3/31/2024,Peter Piper,16,Ending Capital Balance,333273
6/30/2024,Red Rose,1,Beginning Capital Balance,"166,637"
6/30/2024,Red Rose,2,Capital Calls,"60,000"
6/30/2024,Red Rose,5,Distributions (Principal),0
6/30/2024,Red Rose,6,Distributions (Income),"-1,238"
6/30/2024,Red Rose,7,Interest Income,"7,728"
6/30/2024,Red Rose,8,Realized Gain / (Loss),0
6/30/2024,Red Rose,9,Unrealized Gain / (Loss),0
6/30/2024,Red Rose,10,Investment Expenses,-257
6/30/2024,Red Rose,11,Management Fees,-654
6/30/2024,Red Rose,13,Realized Carried Interest,-310
6/30/2024,Red Rose,14,Unrealized Carried Interest,-896
6/30/2024,Red Rose,15,Fund Expenses,-291
6/30/2024,Red Rose,16,Ending Capital Balance,230719
6/30/2024,Berry Blues,1,Beginning Capital Balance,"333,273"
6/30/2024,Berry Blues,2,Capital Calls,"120,000"
6/30/2024,Berry Blues,5,Distributions (Principal),0
6/30/2024,Berry Blues,6,Distributions (Income),"-2,476"
6/30/2024,Berry Blues,7,Interest Income,"15,456"
6/30/2024,Berry Blues,8,Realized Gain / (Loss),0
6/30/2024,Berry Blues,9,Unrealized Gain / (Loss),0
6/30/2024,Berry Blues,10,Investment Expenses,-514
6/30/2024,Berry Blues,11,Management Fees,-1308
6/30/2024,Berry Blues,13,Realized Carried Interest,-619
6/30/2024,Berry Blues,14,Unrealized Carried Interest,"-1,792"
6/30/2024,Berry Blues,15,Fund Expenses,-582
6/30/2024,Berry Blues,16,Ending Capital Balance,"461,438"
6/30/2024,Dolce,1,Beginning Capital Balance,"3,108,463"
6/30/2024,Dolce,2,Capital Calls,0
6/30/2024,Dolce,5,Distributions (Principal),"-16,094"
6/30/2024,Dolce,6,Distributions (Income),"-81,826"
6/30/2024,Dolce,7,Interest Income,"119,261"
6/30/2024,Dolce,8,Realized Gain / (Loss),-422
6/30/2024,Dolce,9,Unrealized Gain / (Loss),0
6/30/2024,Dolce,10,Investment Expenses,-579
6/30/2024,Dolce,11,Management Fees,-14866
6/30/2024,Dolce,13,Realized Carried Interest,-20457
6/30/2024,Dolce,14,Unrealized Carried Interest,"3,410"
6/30/2024,Dolce,15,Fund Expenses,-1538
6/30/2024,Dolce,16,Ending Capital Balance,3095352
6/30/2024,Indiana,1,Beginning Capital Balance,"268,978,397"
6/30/2024,Indiana,2,Capital Calls,0
6/30/2024,Indiana,5,Distributions (Principal),-15123934
6/30/2024,Indiana,6,Distributions (Income),-7226866
6/30/2024,Indiana,7,Interest Income,9404211
6/30/2024,Indiana,8,Realized Gain / (Loss),"-21,083"
6/30/2024,Indiana,9,Unrealized Gain / (Loss),0
6/30/2024,Indiana,10,Investment Expenses,"-45,979"
6/30/2024,Indiana,11,Management Fees,-932497
6/30/2024,Indiana,13,Realized Carried Interest,-1275329
6/30/2024,Indiana,14,Unrealized Carried Interest,"233,435"
6/30/2024,Indiana,15,Fund Expenses,-144706
6/30/2024,Indiana,16,Ending Capital Balance,253845647
6/30/2024,Breeze,1,Beginning Capital Balance,"106,725,519"
6/30/2024,Breeze,2,Capital Calls,0
6/30/2024,Breeze,5,Distributions (Principal),-644020
6/30/2024,Breeze,6,Distributions (Income),-2891715
6/30/2024,Breeze,7,Interest Income,3755841
6/30/2024,Breeze,8,Realized Gain / (Loss),0
6/30/2024,Breeze,9,Unrealized Gain / (Loss),0
6/30/2024,Breeze,10,Investment Expenses,"-33,004"
6/30/2024,Breeze,11,Management Fees,-382105
6/30/2024,Breeze,13,Realized Carried Interest,"-510,303"
6/30/2024,Breeze,14,Unrealized Carried Interest,"105,473"
6/30/2024,Breeze,15,Fund Expenses,-57230
6/30/2024,Breeze,16,Ending Capital Balance,106068458
6/30/2024,Gabbana,1,Beginning Capital Balance,166637
6/30/2024,Gabbana,2,Capital Calls,60000
6/30/2024,Gabbana,5,Distributions (Principal),0
6/30/2024,Gabbana,6,Distributions (Income),-1238
6/30/2024,Gabbana,7,Interest Income,7728
6/30/2024,Gabbana,8,Realized Gain / (Loss),0
6/30/2024,Gabbana,9,Unrealized Gain / (Loss),0
6/30/2024,Gabbana,10,Investment Expenses,-257
6/30/2024,Gabbana,11,Management Fees,-654
6/30/2024,Gabbana,13,Realized Carried Interest,-310
6/30/2024,Gabbana,14,Unrealized Carried Interest,-896
6/30/2024,Gabbana,15,Fund Expenses,-291
6/30/2024,Gabbana,16,Ending Capital Balance,230719
6/30/2024,Peter Piper,1,Beginning Capital Balance,333273
6/30/2024,Peter Piper,2,Capital Calls,"120,000"
6/30/2024,Peter Piper,5,Distributions (Principal),0
6/30/2024,Peter Piper,6,Distributions (Income),"-2,476"
6/30/2024,Peter Piper,7,Interest Income,15456
6/30/2024,Peter Piper,8,Realized Gain / (Loss),0
6/30/2024,Peter Piper,9,Unrealized Gain / (Loss),0
6/30/2024,Peter Piper,10,Investment Expenses,-514
6/30/2024,Peter Piper,11,Management Fees,"-1,308"
6/30/2024,Peter Piper,13,Realized Carried Interest,-619
6/30/2024,Peter Piper,14,Unrealized Carried Interest,"-1,792"
6/30/2024,Peter Piper,15,Fund Expenses,-582
6/30/2024,Peter Piper,16,Ending Capital Balance,461438
9/30/2024,Red Rose,1,Beginning Capital Balance,230719
9/30/2024,Red Rose,2,Capital Calls,"12,500"
9/30/2024,Red Rose,5,Distributions (Principal),0
9/30/2024,Red Rose,6,Distributions (Income),"-4,647"
9/30/2024,Red Rose,7,Interest Income,"7,693"
9/30/2024,Red Rose,8,Realized Gain / (Loss),0
9/30/2024,Red Rose,9,Unrealized Gain / (Loss),0
9/30/2024,Red Rose,10,Investment Expenses,-683
9/30/2024,Red Rose,11,Management Fees,-796
9/30/2024,Red Rose,13,Realized Carried Interest,"-1,162"
9/30/2024,Red Rose,14,Unrealized Carried Interest,88
9/30/2024,Red Rose,15,Fund Expenses,-126
9/30/2024,Red Rose,16,Ending Capital Balance,243586
9/30/2024,Berry Blues,1,Beginning Capital Balance,461438
9/30/2024,Berry Blues,2,Capital Calls,"25,000"
9/30/2024,Berry Blues,5,Distributions (Principal),0
9/30/2024,Berry Blues,6,Distributions (Income),"-9,294"
9/30/2024,Berry Blues,7,Interest Income,"15,387"
9/30/2024,Berry Blues,8,Realized Gain / (Loss),0
9/30/2024,Berry Blues,9,Unrealized Gain / (Loss),0
9/30/2024,Berry Blues,10,Investment Expenses,"-1,367"
9/30/2024,Berry Blues,11,Management Fees,-1593
9/30/2024,Berry Blues,13,Realized Carried Interest,"-2,323"
9/30/2024,Berry Blues,14,Unrealized Carried Interest,176
9/30/2024,Berry Blues,15,Fund Expenses,-253
9/30/2024,Berry Blues,16,Ending Capital Balance,487171
9/30/2024,Dolce,1,Beginning Capital Balance,3095352
9/30/2024,Dolce,2,Capital Calls,0
9/30/2024,Dolce,5,Distributions (Principal),"-221,117"
9/30/2024,Dolce,6,Distributions (Income),"-77,162"
9/30/2024,Dolce,7,Interest Income,"119,584"
9/30/2024,Dolce,8,Realized Gain / (Loss),0
9/30/2024,Dolce,9,Unrealized Gain / (Loss),0
9/30/2024,Dolce,10,Investment Expenses,-426
9/30/2024,Dolce,11,Management Fees,-14989
9/30/2024,Dolce,13,Realized Carried Interest,"-19,291"
9/30/2024,Dolce,14,Unrealized Carried Interest,-153
9/30/2024,Dolce,15,Fund Expenses,"-1,549"
9/30/2024,Dolce,16,Ending Capital Balance,"2,880,250"
9/30/2024,Indiana,1,Beginning Capital Balance,253845647
9/30/2024,Indiana,2,Capital Calls,0
9/30/2024,Indiana,5,Distributions (Principal),"-39,930,154"
9/30/2024,Indiana,6,Distributions (Income),"-6,769,787"
9/30/2024,Indiana,7,Interest Income,"9,045,759"
9/30/2024,Indiana,8,Realized Gain / (Loss),0
9/30/2024,Indiana,9,Unrealized Gain / (Loss),0
9/30/2024,Indiana,10,Investment Expenses,"-34,294"
9/30/2024,Indiana,11,Management Fees,"-889,829"
9/30/2024,Indiana,13,Realized Carried Interest,-1194668
9/30/2024,Indiana,14,Unrealized Carried Interest,"40,892"
9/30/2024,Indiana,15,Fund Expenses,"-134,303"
9/30/2024,Indiana,16,Ending Capital Balance,213979263
9/30/2024,Breeze,1,Beginning Capital Balance,106068458
9/30/2024,Breeze,2,Capital Calls,0
9/30/2024,Breeze,5,Distributions (Principal),-18314743
9/30/2024,Breeze,6,Distributions (Income),-2727507
9/30/2024,Breeze,7,Interest Income,3827201
9/30/2024,Breeze,8,Realized Gain / (Loss),0
9/30/2024,Breeze,9,Unrealized Gain / (Loss),0
9/30/2024,Breeze,10,Investment Expenses,"-19,428"
9/30/2024,Breeze,11,Management Fees,"-384,277"
9/30/2024,Breeze,13,Realized Carried Interest,-481325
9/30/2024,Breeze,14,Unrealized Carried Interest,"-13,415"
9/30/2024,Breeze,15,Fund Expenses,"-50,558"
9/30/2024,Breeze,16,Ending Capital Balance,87904406
9/30/2024,Gabbana,1,Beginning Capital Balance,230719
9/30/2024,Gabbana,2,Capital Calls,12500
9/30/2024,Gabbana,5,Distributions (Principal),0
9/30/2024,Gabbana,6,Distributions (Income),-4647
9/30/2024,Gabbana,7,Interest Income,"7,693"
9/30/2024,Gabbana,8,Realized Gain / (Loss),0
9/30/2024,Gabbana,9,Unrealized Gain / (Loss),0
9/30/2024,Gabbana,10,Investment Expenses,-683
9/30/2024,Gabbana,11,Management Fees,-796
9/30/2024,Gabbana,13,Realized Carried Interest,-1162
9/30/2024,Gabbana,14,Unrealized Carried Interest,88
9/30/2024,Gabbana,15,Fund Expenses,-126
9/30/2024,Gabbana,16,Ending Capital Balance,243586
9/30/2024,Peter Piper,1,Beginning Capital Balance,461438
9/30/2024,Peter Piper,2,Capital Calls,25000
9/30/2024,Peter Piper,5,Distributions (Principal),0
9/30/2024,Peter Piper,6,Distributions (Income),"-9,294"
9/30/2024,Peter Piper,7,Interest Income,15387
9/30/2024,Peter Piper,8,Realized Gain / (Loss),0
9/30/2024,Peter Piper,9,Unrealized Gain / (Loss),0
9/30/2024,Peter Piper,10,Investment Expenses,"-1,367"
9/30/2024,Peter Piper,11,Management Fees,"-1,593"
9/30/2024,Peter Piper,13,Realized Carried Interest,-2323
9/30/2024,Peter Piper,14,Unrealized Carried Interest,176
9/30/2024,Peter Piper,15,Fund Expenses,-253
9/30/2024,Peter Piper,16,Ending Capital Balance,487171
12/31/2024,Berry Blues,1,Beginning Capital Balance,487171.38
12/31/2024,Berry Blues,2,Capital Calls,"25,000"
12/31/2024,Berry Blues,5,Distributions (Principal),0
12/31/2024,Berry Blues,6,Distributions (Income),"-8,406"
12/31/2024,Berry Blues,7,Interest Income,18315.58
12/31/2024,Berry Blues,8,Realized Gain / (Loss),31.16
12/31/2024,Berry Blues,9,Unrealized Gain / (Loss),0
12/31/2024,Berry Blues,10,Investment Expenses,352
12/31/2024,Berry Blues,11,Management Fees,-1956.63
12/31/2024,Berry Blues,13,Realized Carried Interest,"-2,101"
12/31/2024,Berry Blues,14,Unrealized Carried Interest,-913
12/31/2024,Berry Blues,15,Fund Expenses,"-1,415"
12/31/2024,Berry Blues,16,Ending Capital Balance,516077.29
12/31/2024,Peter Piper,1,Beginning Capital Balance,487171.38
12/31/2024,Peter Piper,2,Capital Calls,25000
12/31/2024,Peter Piper,5,Distributions (Principal),0
12/31/2024,Peter Piper,6,Distributions (Income),"-8,406"
12/31/2024,Peter Piper,7,Interest Income,18315.58
12/31/2024,Peter Piper,8,Realized Gain / (Loss),31
12/31/2024,Peter Piper,9,Unrealized Gain / (Loss),0
12/31/2024,Peter Piper,10,Investment Expenses,352
12/31/2024,Peter Piper,11,Management Fees,-1956.63
12/31/2024,Peter Piper,13,Realized Carried Interest,-2101.46
12/31/2024,Peter Piper,14,Unrealized Carried Interest,-913
12/31/2024,Peter Piper,15,Fund Expenses,"-1,415"
12/31/2024,Peter Piper,16,Ending Capital Balance,"516,077"
12/31/2024,Dolce,1,Beginning Capital Balance,2880249.86
12/31/2024,Dolce,2,Capital Calls,0
12/31/2024,Dolce,5,Distributions (Principal),"-231,768"
12/31/2024,Dolce,6,Distributions (Income),"-70,969"
12/31/2024,Dolce,7,Interest Income,"107,390"
12/31/2024,Dolce,8,Realized Gain / (Loss),236
12/31/2024,Dolce,9,Unrealized Gain / (Loss),"-2,163"
12/31/2024,Dolce,10,Investment Expenses,"-1,287"
12/31/2024,Dolce,11,Management Fees,"-13,779"
12/31/2024,Dolce,13,Realized Carried Interest,-17742.22
12/31/2024,Dolce,14,Unrealized Carried Interest,"-5,034"
12/31/2024,Dolce,15,Fund Expenses,"-1,385"
12/31/2024,Dolce,16,Ending Capital Balance,"2,643,748"
12/31/2024,Indiana,1,Beginning Capital Balance,213979263.5
12/31/2024,Indiana,2,Capital Calls,0
12/31/2024,Indiana,5,Distributions (Principal),"-61,552,234"
12/31/2024,Indiana,6,Distributions (Income),"-5,986,950"
12/31/2024,Indiana,7,Interest Income,"7,516,980"
12/31/2024,Indiana,8,Realized Gain / (Loss),"11,801"
12/31/2024,Indiana,9,Unrealized Gain / (Loss),"-243,804"
12/31/2024,Indiana,10,Investment Expenses,"-64,755"
12/31/2024,Indiana,11,Management Fees,"-757,078"
12/31/2024,Indiana,13,Realized Carried Interest,-1056520.55
12/31/2024,Indiana,14,Unrealized Carried Interest,"-162,335"
12/31/2024,Indiana,15,Fund Expenses,"-128,013"
12/31/2024,Indiana,16,Ending Capital Balance,"151,556,356"
12/31/2024,Breeze,1,Beginning Capital Balance,87904406.11
12/31/2024,Breeze,2,Capital Calls,0
12/31/2024,Breeze,5,Distributions (Principal),"-10,502,687"
12/31/2024,Breeze,6,Distributions (Income),"-2,158,548"
12/31/2024,Breeze,7,Interest Income,"2,796,303"
12/31/2024,Breeze,8,Realized Gain / (Loss),0
12/31/2024,Breeze,9,Unrealized Gain / (Loss),"-2,005,765"
12/31/2024,Breeze,10,Investment Expenses,"-74,883"
12/31/2024,Breeze,11,Management Fees,"-311,972"
12/31/2024,Breeze,13,Realized Carried Interest,"-380,920"
12/31/2024,Breeze,14,Unrealized Carried Interest,222648.56
12/31/2024,Breeze,15,Fund Expenses,"-74,299"
12/31/2024,Breeze,16,Ending Capital Balance,"75,414,284"
12/31/2024,Gabbana,1,Beginning Capital Balance,243585.69
12/31/2024,Gabbana,2,Capital Calls,12500
12/31/2024,Gabbana,5,Distributions (Principal),0
12/31/2024,Gabbana,6,Distributions (Income),-4202.91
12/31/2024,Gabbana,7,Interest Income,"9,158"
12/31/2024,Gabbana,8,Realized Gain / (Loss),15.58
12/31/2024,Gabbana,9,Unrealized Gain / (Loss),0
12/31/2024,Gabbana,10,Investment Expenses,176
12/31/2024,Gabbana,11,Management Fees,-978
12/31/2024,Gabbana,13,Realized Carried Interest,"-1,051"
12/31/2024,Gabbana,14,Unrealized Carried Interest,-456.64
12/31/2024,Gabbana,15,Fund Expenses,-708
12/31/2024,Gabbana,16,Ending Capital Balance,"258,039"
12/31/2024,Red Rose,1,Beginning Capital Balance,243585.69
12/31/2024,Red Rose,2,Capital Calls,12500
12/31/2024,Red Rose,5,Distributions (Principal),0
12/31/2024,Red Rose,6,Distributions (Income),"-4,203"
12/31/2024,Red Rose,7,Interest Income,"9,158"
12/31/2024,Red Rose,8,Realized Gain / (Loss),15.58
12/31/2024,Red Rose,9,Unrealized Gain / (Loss),0
12/31/2024,Red Rose,10,Investment Expenses,176
12/31/2024,Red Rose,11,Management Fees,-978
12/31/2024,Red Rose,13,Realized Carried Interest,"-1,051"
12/31/2024,Red Rose,14,Unrealized Carried Interest,-456.64
12/31/2024,Red Rose,15,Fund Expenses,-708
12/31/2024,Red Rose,16,Ending Capital Balance,"258,039"
12/31/2024,Magic,1,Beginning Capital Balance,0
12/31/2024,Magic,2,Capital Calls,0
12/31/2024,Magic,5,Distributions (Principal),-57942.11
12/31/2024,Magic,6,Distributions (Income),"-25,925"
12/31/2024,Magic,3,Transfers,"728,941"
12/31/2024,Magic,7,Interest Income,26847.44
12/31/2024,Magic,8,Realized Gain / (Loss),59
12/31/2024,Magic,9,Unrealized Gain / (Loss),-541
12/31/2024,Magic,10,Investment Expenses,-322
12/31/2024,Magic,11,Management Fees,0
12/31/2024,Magic,13,Realized Carried Interest,0
12/31/2024,Magic,14,Unrealized Carried Interest,0
12/31/2024,Magic,15,Fund Expenses,-346
12/31/2024,Magic,16,Ending Capital Balance,670771.26
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
